Category,File_Name,Type
KANGAROO,Kangaroo_DWeSIMandFWUP_MultiDUT_TestFlow-20250414.xlsx,Excel
KANGAROO,Kangaroo_MP_AIR_TestFlow_20250326C.xlsx,Excel
KANGAROO,Kangaroo_PR_CellularVerification-20240923_PC3_TestFlow.xlsx,Excel
KANGAROO,Pega_Kangaroo_TestFlow-Final Check_MP_20250415_CBNGSIMSLOT1.xlsx,Excel
KANGAROO,Pega_Kangaroo_TestFlow-OQC_MP_20250415_CBNGSIMSLOT1.xlsx,Excel
KANGAROO,Pega_Kangaroo_TestFlow_Mainboard_MP_250407.xlsx,Excel
KANGAROO,Pega_Kangaroo_TestFlow_MP_FWdownload_20250410-RecordUSBInfo.xlsx,Excel
VALO360,VALO360_ER2 OQC Function Check List_202504122_for Factory.xlsx,Excel
VALO360,VALO360_ER2 OQC Function Check List_20250418.xlsx,Excel
VALO360,VALO360_TestFlow_20250218_ER2.xlsx,Excel
VALO360,VALO360_TestFlow_20250218_POE_LoopOK.xlsx,Excel
VALO360,VALO360_TestFlow_20250307_POE.xlsx,Excel
VALO360,VALO360_TestFlow_20250318_MB_ER2.xlsx,Excel
VALO360,VALO360_TestFlow_20250326_Final.xlsx,Excel
VALO360,VALO360_TestFlow_20250326_IMU.xlsx,Excel
VALO360,VALO360_TestFlow_20250407_Function.xlsx,Excel
Centimani,Centimani INI file setting(20210506).xlsx,Excel
Centimani,Centimani instrument parameter -Ver1.65 (20230104).xlsx,Excel
Centimani,Centimani Script User Guide(202230104).xlsx,Excel
Test_Items,Test Item Code V2.00_20241106.xlsx,Excel
Test_Items,Test Item Code V2.04_20250310.xlsx,Excel
Other,Pega_Nokia_TestFlow_20250307_ER2_DMIC.xlsx,Excel
